OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPEAREA,SHAPELEN
41282,2016,CA,USF,ANF,BURRO,002371,2016/06/18 00:00:00+00,2016/06/18 00:00:00+00,9,FIRESTSAT C_Meth 20 Digitized Other,11,19.11580276,6,1,,113494.50095328,1650.68406370937
41283,2016,CA,USF,CNF,FEATHER,002083,2016/07/18 00:00:00+00,2016/07/20 00:00:00+00,2,FIRESTSAT C_Meth 20  Alt inc #017022,100,100.06614685,6,1,,576830.61743293,5538.18766942997
41284,2016,CA,USF,CNF,HOLY,002642,2016/08/31 00:00:00+00,2016/09/09 00:00:00+00,9,FIRESTSAT C_Meth 20 Digitized Other,146,146.05012512,6,1,,855536.64173974,5305.8938140525
41285,2016,CA,USF,LPF,COLEMAN,001504,2016/06/04 00:00:00+00,2016/06/21 00:00:00+00,5,"Init IC Ft Hunter Liggett Chief 8801, J. Minetti",2520,2522.63867188,8,1,,15679234.0551835,36724.3141290013
41288,2016,CA,USF,LPF,PINE,001986,2016/06/30 00:00:00+00,2016/12/15 00:00:00+00,4,,2304,2300.25463867,8,1,,13784500.1239523,39191.8924893562
41289,2016,CA,USF,MDF,SOUP 1,000905,2016/09/17 00:00:00+00,2016/12/12 00:00:00+00,7,FIRESTAT C_Meth 03 GPS Different Corrected Data,133,133.14796448,4,1,,954857.97446403,4468.88354576091
41290,2016,CA,USF,MDF,SOUP 2,000906,2016/09/17 00:00:00+00,2016/12/12 00:00:00+00,7,FIRESTAT C_Meth 03 GPS Different Corrected Data,2588,2512.53857422,4,1,,18025730.2330235,40632.2361645287
41291,2016,CA,USF,SRF,WILDERNESS,000683,2016/07/04 00:00:00+00,2016/07/04 00:00:00+00,4,Red Mtn Lookout saw fire in MarbleMtnWild,39,46.72559738,8,1,,336941.13186895,2503.87260688979
41292,2016,CA,USF,SNF,WARM,002114,2016/09/13 00:00:00+00,,1,FIRESTSAT C_Meth 02 GPS Uncorrected Data,26.5,26.46886635,4,1,,169914.18033088,3168.8379878048
41293,2016,CA,USF,SNF,CROWN,002154,2016/09/15 00:00:00+00,2016/10/06 00:00:00+00,1,FIRESTSAT C_Meth 02 GPS Uncorrected Data,797,796.32867432,4,1,,5055493.3690086,11184.567765587
41294,2016,CA,USF,SNF,SACATA,002370,2016/10/11 00:00:00+00,2016/10/15 00:00:00+00,9,FIRESTSAT C_Meth 02 GPS Uncorrected Data,1900,2099.05737305,4,1,,13318640.663528,19264.7109647484
41296,2016,CA,USF,KNF,DILLON,004511,2016/06/07 00:00:00+00,2016/06/08 00:00:00+00,1,geometry combo IR flight on Pony Fire,5,14.82834721,3,1,,107443.61454599,2032.37118553777
41297,2016,CA,USF,KNF,PONY,004500,2016/06/07 00:00:00+00,2016/12/15 00:00:00+00,1,"Fire Out Date was used as ""Cont Date""",2860,2857.17456055,3,1,,20702002.1408072,44144.4816739535
41298,2016,CA,USF,SNF,SPRING,001415,2016/07/12 00:00:00+00,,1,FIRESTSAT C_Meth 02 GPS Uncorrected Data,178,178.44696045,4,1,,1146365.9663132,7568.99108148765
41299,2016,CA,CDF,SCU,DIABLO ,005693,2016/08/02 00:00:00+00,2016/08/02 00:00:00+00,14,,25,101.01754761,2,1,,651812.13354985,3114.35862005173
41300,2016,CA,CDF,SCU,COE ,003873,2016/06/21 00:00:00+00,2016/06/23 00:00:00+00,9,,90,84.74403381,2,1,,541154.44994875,4420.35695677303
41301,2016,CA,CDF,SCU,LOMA ,006912,2016/09/26 00:00:00+00,2016/10/26 00:00:00+00,14,,2000,4474.12353516,2,1,,28526542.8099318,36396.5509456614
41302,2016,CA,CDF,SCU,SIERRA,005839,2016/07/30 00:00:00+00,2016/08/01 00:00:00+00,2,,50,123.96594238,2,1,,796736.558039605,3794.13708619846
41303,2016,CA,CDF,AEU,CAMANCHE,016373,2016/06/17 00:00:00+00,2016/06/19 00:00:00+00,14,,201,209.55213928,1,1,,1377675.69971991,7185.40568729038
41304,2016,CA,CDF,AEU,MIDDLE,019286,2016/07/11 00:00:00+00,2016/07/11 00:00:00+00,14,,13,12.63780499,1,1,,83225.548921705,1211.90759251749
41305,2016,CA,CDF,AEU,RANCHO,017670,2016/06/28 00:00:00+00,2016/06/29 00:00:00+00,10,,372,371.65524292,1,1,,2451529.27673679,9697.62066843341
